Examen,Bloque/Tipo,N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
2025-II,Medicina I,65,Como médico serumista ha realizado en un paciente adulto el diagnóstico de una enfermedad incluida en el listado de Enfermedades Raras o Huérfanas (ERH). ¿En qué caso se requiere que la IPRESS solicite opinión de la Comisión Consultiva Institucional (CCI)?,El paciente presenta criterios dudosos de ERH,La ERH acaba de ser diagnosticada,La ERH requiere un producto farmacéutico por más de un año,El costo anual de tratamiento de la ERH no tiene umbral MAC calculado,C,La ERH requiere un producto farmacéutico por más de un año
2025-II,Medicina I,66,Nos reportan un primer caso de leishmaniasis en una zona determinada de la sierra; sin reporte de presencia de Lutzomya. ¿Qué recomienda para control vectorial?,"Si la investigación de foco es negativa, control en un mes",Orientar acciones de control vectorial,Identificar la presencia de vectores de leishmaniasis en los sitios probables de infección,Uso de control químico,C,Identificar la presencia de vectores de leishmaniasis en los sitios probables de infección
2025-II,Medicina I,67,Uno de los principios del equipo de auditores que se rigen para ejercer sus responsabilidades es:,Confidalidad,Objetividad,Veracidad,Conducta ética,D,Conducta ética
2025-II,Medicina I,68,"En una campaña de salud comunitaria se detectó un joven de 17 años con sospecha de consumo de alcohol, por lo que se le aplicó el test AUDIT (Alcohol Use Disorders Identification Test) con un puntaje de 30 puntos. ¿Cuál es la interpretación de este resultado obtenido?",No problemas de consumo,Bebedor de riesgo,Probable dependencia alcohólica,Bebedor social,C,Probable dependencia alcohólica
2025-II,Medicina I,69,En su establecimiento de salud ubicado en una comunidad alto andina se realiza una charla educativa en quechua sobre la diversidad étnica. Esta actividad se enmarca en …,principio de justicia.,prevención del estigma social.,promoción de la equidad de género.,prevención de la discriminación.,D,prevención de la discriminación.
2025-II,Medicina I,70,"Guardar ......, inspira mayor confianza del paciente hacia el médico, generalmente protege los intereses del enfermo y beneficia el prestigio del médico.",el secreto profesional,deberes y derechos,consentimiento informado,la ética médica,A,el secreto profesional
2025-II,Medicina I,71,"Paciente de 30 años que viene de SJL y tiene varias parejas sexuales, con antecedente de familiar con TBDR. Luce en buena condición clínica. No se ha hecho baciloscopias y Rx de tórax ni Elisa VIH. ¿Puede iniciarle terapia preventiva contra la tuberculosis a este paciente, fundamente?","Si, personas con diagnóstico de infección por VIH independiente del resultado del PPD o IGRA","Si, pero habría que hacerle en ese momento una prueba sensibilidad rápida","No, porque no se ha descartado enfermedad tuberculosa activa ni inmunosupresión","Si, en adultos y adultos mayores que son contactos de caso índice de TB pulmonar",C,"No, porque no se ha descartado enfermedad tuberculosa activa ni inmunosupresión"
2025-II,Medicina I,72,"Los residuos comunes tipo madera, placas radiológicas, frascos de sueros sin equipo de venoclisis y los que no tengan contacto directo con pacientes y que no se encuentren contaminados se clasifican en:",Tipo C1,Tipo C2,Tipo C3,Tipo C4,B,Tipo C2
2025-II,Medicina I,73,"En un establecimiento de salud de Surco, el director realiza desplazamiento del personal a otro centro, sustentando la disminución de atenciones de parto, la obstetra que labora más de 10 años, manifiesta su descontento presentando una queja a recursos humanos. ¿Qué aspecto de la gestión de recursos humanos se ve afectado?",Salud mental,Ley del CAS,Clima organizacional,Trabajo social,C,Clima organizacional
2025-II,Medicina I,74,"En el 2005 se creó el programa JUNTOS cuya cobertura fue ampliada con el decreto supremo DS N° 009-2012- MIDIS, con el apoyo del gobierno local a través del Ministerio de Desarrollo e Inclusión Social, con el objeto de romper el círculo vicioso de la pobreza y restituir los derechos básicos de los hogares (acceso a servicios básicos en salud, nutrición y educación). Con respecto al abordaje de determinantes sociales. ¿Qué tipo de determinantes son?",Intermedios (factores conductuales),Estructurales (según clase social),Circunstancias materiales,Estructurales (factores psicosociales),B,Estructurales (según clase social)
2025-II,Medicina I,75,¿Por qué se caracteriza el modelo de salud mental comunitario?,Garantiza la inclusión social de las personas con problemas de salud mental,Promueve la participación de la comunidad,"Se implementa continuamente, según las necesidades de una población determinada, organizada y promueve la recuperación total",Satisface las necesidades de una población determinada en varias redes de servicios de salud,C,"Se implementa continuamente, según las necesidades de una población determinada, organizada y promueve la recuperación total"
2025-II,Medicina I,76,"Acude mujer de 25 años, refiriendo estar gestando con 10 semanas y haber presentado sangrado vaginal y dolor leve en bajo vientre hace 2 días. Examen: FC: 89 X', FR: 20 X', Tº: 36.8 ºC, PA:100/70mmHg. Ecografía: útero y anexos normales. ¿Cuál es el diagnóstico?",Aborto completo,Aborto subclínico,Embarazo ectópico,Enfermedad trofoblástica gestacional,A,Aborto completo
2025-II,Medicina I,77,El …... de los equipos es uno de los factores que influyen decisivamente en la mejora de la calidad asistencial y en los resultados sobre la salud de la población.,liderazgo,jefe,coordinador,responsable,A,liderazgo
2025-II,Medicina I,78,"Varón acude al establecimiento I–2 y solicita al jefe del PS información acerca del tratamiento que su señora esposa se realiza en Planificación Familiar todos los meses, está muy alterado. El jefe del establecimiento informa que debe guardar reserva respecto a la información referente a su esposa. ¿Qué deber del servidor público se está aplicando en este caso?",Discreción,Neutralidad,Responsabilidad,Transparencia,A,Discreción
2025-II,Medicina I,79,"Gestante de 32 semanas, acude a su establecimiento de salud con cefalea frontal, epigastralgia, visión borrosa, fotofobia y alteración del estado de conciencia. Examen: FC: 108 X', FR: 20 X', Tº: 36 ºC, PA: 170/110 mmHg. ¿Cuál es el diagnóstico?",Emergencia hipertensiva,Eclampsia,Preeclampsia,Hipertensión crónica,B,Eclampsia
2025-II,Medicina I,80,"Como médico serumista de un EESS del primer nivel, recibe a una paciente mujer de 70 años quien acude por primera vez refiriendo que desde hace un mes nota una disminución de su fortaleza y velocidad para realizar actividades agrícolas habituales. ¿Cuál formato de evaluación inicial debe aplicar en este caso?",VACAM corta,VACAM breve,VACAM completa,VGI breve,A,VACAM corta
2025-II,Medicina I,81,Mujer de 45 años acude al EE.SS. muy preocupada pidiendo una orden de mamografía pues en tiktok dicen que todas las mujeres deben realizársela para detectar el cáncer de mama y nunca se la ha realizado. Usted la evalúa encontrándola asintomática y con bajo riesgo de cáncer de mama. De acuerdo a la evidencia actual ¿Cuál es la mejor recomendación para ella respecto a su deseo de realizarse la mamografía?,Debe esperar 2 años para realizarla,No hacerla por riesgo de radiación,Sí desea puede hacerla,No debe hacerla,C,Sí desea puede hacerla
2025-II,Medicina I,82,"Como médico serumista usted ha sido asignado a un establecimiento de salud que cuenta únicamente con la UPSS (Unidad Prestadora de Servicios de Salud) consulta externa por profesional médico, pudiendo brindar atención tanto en modalidad intramural como extramural. ¿Cuál es la categoría de este establecimiento?",I-1,I-2,II-2,II-1,B,I-2
2025-II,Medicina I,83,"Usted se encuentra en los barracones del Callao como serumista, donde realiza sutura a paciente con herida en antebrazo. Al descartar los cortopunzantes, sufre accidente con material quirúrgico contaminado. ¿Qué acción inmediata debes realizar ante esta situación?",No desechar el cortopunzante,No lavar con jabón antiséptico,Notificar el caso,Administrarse vacuna toxoide tetánico,C,Notificar el caso
2025-II,Medicina I,84,"Hoy se celebra el día mundial de lucha contra el SIDA, entonces el equipo del centro de salud nivel I coordina con la municipalidad, para colocar carpas; colocando carpas en el parque ofreciendo y realizando actividades de prevención sobre ITS y VIH al vecindario. Esto facilita la escucha activa por el vecindario y el establecimiento de salud, generando vínculos con el equipo de salud. ¿A qué corresponde esta acción?",Participación como movilización,Participación vecinal,Participación política,Participación por delegación,A,Participación como movilización
2025-II,Medicina I,85,"La Obstetra del establecimiento de salud de Cutervo, recibe a una mujer de 28 años quechua hablante en trabajo de parto; se presenta, la saluda y le brinda atención del parto con adecuación intercultural. ¿A qué principio ético como servidor público alude su actuar?",Responsabilidad,Eficiencia,Justicia y equidad,Lealtad y obediencia,C,Justicia y equidad
2025-II,Medicina I,86,En un establecimiento de salud de primer nivel recibes un escolar de 4 años en consulta. ¿Cuáles son las vacunas que previenen la tos ferina en este escolar?,"DPT 3 dosis, pentavalente 2 dosis","DPT 2 dosis, SPR 1 dosis","DPT 2 dosis, pentavalente 3 dosis","DPT 1 dosis, SPR 2 dosis",C,"DPT 2 dosis, pentavalente 3 dosis"
2025-II,Medicina I,87,"Al fortalecer el trabajo de los promotores de salud/agentes comunitarios de salud, generando mecanismos de participación activa en las estrategias de salud locales; se debe realizar:",Reorientar los servicios de salud con enfoque de promoción de la salud,Reorientación de la inversión hacia la promoción de la salud y el desarrollo local,Mejorar las condiciones del medio ambiente,Promover la participación comunitaria conducente al ejercicio de la ciudadanía,A,Reorientar los servicios de salud con enfoque de promoción de la salud
2025-II,Medicina I,88,"Los cuidados vinculados a la promoción, prevención, recuperación y rehabilitación es un principio básico de la Atención Primaria de Salud. ¿A qué principio se refiere?",Universalidad,Equidad en salud,Calidad,Integralidad,D,Integralidad
2025-II,Medicina I,89,"Varón de 50 años obeso acude refiriendo decaimiento general y mayor somnolencia por lo que no puede desempeñarse bien en el trabajo. Examen: PA: 130/70 mmHg, FC: 72 X'; IMC: 32. Glicemia plasmática en ayunas: 120 mg/dL. ¿Cuál es el siguiente paso más adecuado para el diagnóstico en este caso?",Realizar un dosaje de hemoglogina glicosialda,Realizar un test de tolerancia a la glucosa,Repetir el examen de glicemia plasmática,Realizar un dosaje de insulina plasmática,B,Realizar un test de tolerancia a la glucosa
2025-II,Medicina I,90,"Paciente de 68 años hipertenso mal controlado, presenta cefalea progresiva, es llevado al centro de salud por deterioro del estado de conciencia progresivo. Tiene antecedentes de cefaleas vasculares hace 2 semanas. Examen: PA: 180/95 mmHg, FC: 90 X', FR: 22 X', T°: 37 °C; sonmoliento con hemiparesia en hemicuerpo derecho, Glasgow: 9. ¿Cuál es la conducta a seguir?",Realizar pruebas de laboratorio,Observación y monitoreo,Referir a centro hospitalario,Control gasométrico,C,Referir a centro hospitalario
2025-II,Medicina I,91,"Luego de evaluar la situación de salud en la comunidad adscrita a su establecimiento de salud, encuentra que hay enfermedades de alta prevalencia y otras de alta incidencia. ¿Qué enfermedad cumple la condición de alta incidencia y baja prevalencia a la vez?",Crisis de ansiedad,Resfriado común,Diabetes mellitus,Hipertensión arterial,B,Resfriado común
2025-II,Medicina I,92,"Como médico usted atiende a un paciente de 20 años con diagnóstico de VIH hace 07 días, asintomático. Tiene 2 Gene X expert en esputo negativos y Rx de tórax: normal, CD4 sérico: 450 cel/ml. Serología: HBsAg negativo VDRL negativo. Ha pasado evaluación por la psicóloga. ¿Cuál es la conducta terapéutica a seguir?",Evaluación por oftalmología,Iniciar terapia antirretroviral+ iniciar terapia de prevención de TB,Consejería de soporte sobre el VIH,Iniciar profilaxis con cotrimoxazol,B,Iniciar terapia antirretroviral+ iniciar terapia de prevención de TB
2025-II,Medicina I,93,"Para abordar la alta prevalencia de violencia física familiar en su comunidad usted realiza reuniones con el director del colegio, el teniente alcalde, el comisario y el párroco para acordar acciones para mitigar este problema. ¿Qué estrategia de promoción de la salud se está cumpliendo?",Comunicación social,Participación ciudadana,Intersectorialidad,Empoderamiento social,C,Intersectorialidad
2025-II,Medicina I,94,Los usuarios de una comunidad quieren mejoras para su centro de salud nivel I en Pichanaqui y quieren involucrarse en los espacios de control social en salud. ¿Cómo mejorar el involucramiento de la participación de la comunidad?,Mejorando los instrumentos jurídicos,Dar opinión sobre el trabajo de los serumistas del centro de salud,Procesos de capacitación para personas que pertenecen a la comunidad,Participación de la comunidad para ejercer vigilancia sobre la gestión,D,Participación de la comunidad para ejercer vigilancia sobre la gestión
2025-II,Medicina I,95,"“Es un proceso sistemático, cíclico y continuo, de naturaleza política, técnica y participativa; por lo que, involucra múltiples actores de un sector o de diversos sectores e instancias gubernamentales. Se basa en un análisis riguroso, basado en evidencias de la situación actual y futura, a través del cual se implementan los objetivos del Plan Estratégico de Desarrollo Nacional”. Estamos hablando de:",Planeamiento estratégico,Identificación de indicadores,Plan de salud,Análisis de la situación actual,A,Planeamiento estratégico
2025-II,Medicina I,96,"Es el documento de gestión participativa y concertada de vigencia anual, su proceso de elaboración es conducido por la CLAS y los jefes de sus establecimientos de salud, de conformidad con las normas técnicas del MINSA; orienta las intervenciones sanitarias hacia la solución de las necesidades de salud locales priorizadas. Nos estamos refiriendo a:",Análisis situacional en salud,Plan de salud local,Promoción de la salud,Sistema de vigilancia,B,Plan de salud local
2025-II,Medicina I,97,"Lactante masculino de 6 meses de edad, eutrófico, con esquema de vacunación actualizado que se le orienta a su mamá, acude a vacunatorio para recibir su próxima inmunización, correspondiéndole…",2da dosis de influenza.,1ra dosis de influenza.,"1ra dosis de vacuna sarampión, paperas, rubéola (SPR).",dosis única vacuna antiamarílica (AMA).,A,2da dosis de influenza.
2025-II,Medicina I,98,"Un serumista muestra en una reunión técnica con la municipalidad, comunidad y DIRIS, los datos de los casos de jóvenes recién diagnosticados de VIH que han aumentado en la comunidad, que acuden a su centro de salud en un pueblo en la Selva de Amazonas y señala que se necesita apoyo para construir una área de atención médica en el centro para dichos pacientes. ¿Para qué me sirve la información epidemiológica recogida?",Consolidar el compromiso de la lucha contra el VIH,Movilizar a la comunidad y pedir recursos,Identificar los factores causales,Saber la magnitud de la epidemia del VIH,B,Movilizar a la comunidad y pedir recursos
2025-II,Medicina I,99,"Niño de 10 años, llevado al centro de salud de La Victoria por presentar astenia. Examen: FR: 18 X', FC: 89 X', Tº: 36.5 Cº; piel, escleras y mucosas con tinte ictérico y acolia. ¿Cuál es su diagnóstico?",Paludismo,Dengue con signos de alarma,Hepatitis A,Hepatitis B,C,Hepatitis A
2025-II,Medicina I,100,En su establecimiento de salud acude mujer andina quechua hablante de 39.4 semanas para realizar su parto con todos sus controles prenatales sin alteración. ¿Qué parto usted promueve para realizar interculturalidad?,Cesárea,Parto domiciliario,Parto horizontal,Parto vertical,D,Parto vertical
2026-I,Medicina,1,"Gestante multípara a término, que acude a puesto de salud con contracciones uterinas cada 30 minutos. Al tacto vaginal se identifica dilatación de cuello uterino de 3 cm, sin signos de alarma. Ud. procede referir a:",Centro de salud I-3,Hospital III,Centro de salud I-4,Hospital II,C,Centro de salud I-4
2026-I,Medicina,2,"Al consultorio de medicina acude María de 55 años, con 10 años de diabetes, actualmente controlada, en tratamiento con Metformina, con estilos de vida saludables, se realiza el seguimiento periódico ¿Cuál de los siguientes se considera como meta en el manejo integral del paciente con diabetes?",Glicemia en ayunas de 80 a 126 mg/dl,Hemoglobina glucosilada < 7.5%,Glicemia postprandial de 2 h <140 mg/dl,Perímetro de cintura < 94 cm,C,Glicemia postprandial de 2 h <140 mg/dl
2026-I,Medicina,3,"En un establecimiento de salud I-4 el personal de salud recoge los datos en el escenario donde se presentó la enfermedad para su control, incluyendo a las personas que no acudieron al servicio de salud. ¿A qué tipo de vigilancia corresponde?",Centinela,Especializada,Pasiva,Activa,D,Activa
2026-I,Medicina,4,"Mujer de 52 años, natural de región selva, trabaja en prostitución, refiere a profesional de salud que el día anterior fue dopada y sufrió agresión sexual, tiene dolor pélvico y moretones en el cuerpo. ¿Qué debe hacer el profesional de salud?","Aplicar kit completo de emergencia, previo consentimiento",Derivar a paciente para que se le brinde atención en salud mental,Aplicar kit de descarte sin consentimiento para que no se asuste,Hacer denuncia a las autoridades sin autorización de paciente,A,"Aplicar kit completo de emergencia, previo consentimiento"
2026-I,Medicina,5,"Ud. como médico acude a una visita domiciliaria en el sector sanitario asignado, identificando a una pareja con unión de 4 meses y cursando el primer embarazo. ¿Cómo la clasificaría según su ciclo vital familiar?",Expansión,Dispersión,Contracción,Formación,A,Expansión
2026-I,Medicina,6,"Gestante de 23 años, migrante, con primaria incompleta, control prenatal esporádico de su tercer embarazo, manifiesta a un profesional que le quiere regalar a su hijo porque tiene problemas económicos, y su pareja la ha abandonado. Esta persona se encuentra sola y no tiene testigos. ¿Cuál es la conducta a seguir?","Comunicar a la policía, la intención de la gestante",Aceptar por el bienestar y bien superior del recién nacido,Referir a paciente a salud mental o servicio social,Rechazar porque es un acto en contra de la ética profesional,D,Rechazar porque es un acto en contra de la ética profesional
2026-I,Medicina,7,"¿Cuál es el rango de T° en °C, necesario para la conservación de las vacunas?",1 a 8,4 a 10,2 a 8,-1 a -8,C,2 a 8
2026-I,Medicina,8,"En un pueblo amazónico se está implementando una RIS de manera ordenada, siguiendo la normativa del MINSA, considerando su realidad local. ¿Qué característica del proceso se está cumpliendo?",Sistemático,Sostenible,Progresivo,Planificado,A,Sistemático
2026-I,Medicina,9,"La evaluación continua del recién nacido hospitalizado cuya madre tuvo ITU o ITS antes del parto, corresponde a una vigilancia epidemiológica de las IAAS de tipo ...",pasiva.,focalizada.,activa.,selectiva.,D,selectiva.
2026-I,Medicina,10,"En un establecimiento de salud I-4, mujer de 25 años, recibió esquema de tratamiento para TB, pero indica que los síntomas continúan, y que su hija menor de 5 años, también fue diagnosticada de lo mismo. ¿Qué principio del uso de medicamentos antimicrobianos NO se aplicó?",Calidad,Concentración,Resistencia,Biodisponibilidad,C,Resistencia
2026-I,Medicina,11,"El fortalecimiento de capacidades del personal de salud para mejorar la calidad en un servicio específico de atención primaria de salud, es una actividad acorde al objetivo de planeamiento estratégico relacionado a …",fortalecer el ejercicio de la rectoría de la autoridad nacional de salud.,incrementar el acceso a atención integral de salud.,mejorar asignación de presupuesto para atención integral.,difundir la importancia de la salud como derecho.,B,incrementar el acceso a atención integral de salud.
2026-I,Medicina,12,"En un establecimiento de salud I-4, ingresa paciente con parto inminente, no controlada. ¿ Cuál de las siguientes pruebas de tamizaje rápido se utiliza para detectar anticuerpos contra VIH y treponema pallidum o anticuerpos treponémicos totales?",FTA-Abs,PM (pruebas moleculares),PRT (pruebas rápidas triples),PRD (pruebas rápidas duales),D,PRD (pruebas rápidas duales)
2026-I,Medicina,13,"Durante la visita a un niño con anemia, se le orienta a la madre darle alimentos ricos en hierro como la sangrecita, sin embargo, la madre señal que su religión no se lo permite. ¿Cuál es la conducta más adecuada para mejorar el estado de salud del menor?",Llamarle la atención por negligencia y desidia,Obligar a que la madre lo alimente con la sangrecita,Respetar la decisión y creencia de la familia,Fortalecer el consumo de hierro intradomiciliario,D,Fortalecer el consumo de hierro intradomiciliario
2026-I,Medicina,14,"El tabaco es un factor de riesgo para cáncer pulmonar y EPOC, una intervención efectiva para disminuir la exposición es la implementación de medidas correctivas que favorezcan espacios libres de humo, siendo una función de salud...",individual.,pública.,familiar.,participativa.,B,pública.
2026-I,Medicina,15,"Durante la consulta de curso de vida de un adulto mayor, identifica que hace varios años no se ha aplicado vacunas, por lo que lo sensibiliza informándole sobre los beneficios. De acuerdo al curso de vida, le corresponde:",Hepatitis B y antiamarílica,Antiamarílica e influenza adulto,Influenza adulto y neumococo,"VPH, SPR y neumococo",C,Influenza adulto y neumococo
2026-I,Medicina,16,"Frente a un paciente con sospecha de neumotórax y/o atrapamiento aéreo; para un adecuado diagnóstico, se debe tomar una radiografía en:",Decúbito supino,Inspiración,Decúbito prono,Espiración,D,Espiración
2026-I,Medicina,17,"Un médico serumista se encuentra trabajando en un centro de salud de 12 horas, al cual acude una gestante de bajo riesgo obstétrico con contracciones. ¿A qué establecimiento de salud le corresponde referir?",I - 3,I - 4,II - 1,III - 1,B,I - 4
2026-I,Medicina,18,"En el proceso de atención de Juan en consulta externa, el médico asume un rol ""Consejero - consultor"", buscando la autocomprensión de sus valores en salud del paciente. ¿Cómo se denomina a esta modelo de relación profesional de salud - paciente?",Deliberativo,Informativo,Paternalista,Interpretativo,D,Interpretativo
2026-I,Medicina,19,"Las condiciones en que viven las personas y sus experiencias de convivencia que condicionan su salud, son determinantes de tipo:",Pobreza,Ambiental,Económico,Social,D,Social
2026-I,Medicina,20,"¿Cuál es una vacuna multidosis, indicada a partir de los 15 meses hasta los 59 años?",Tétano y Difteria (DT),Antiamarílica (AMA),BCG,"Sarampión, Papera y Rubeola (SPR)",B,Antiamarílica (AMA)
2026-I,Medicina,21,Para garantizar el adecuado desempeño de los recursos humanos de su establecimiento de salud. ¿Qué se debe considerar?,Virtudes,Competencias,Valores,Caracteres,B,Competencias
2026-I,Medicina,22,Se considera posible cáncer o enfermedad muy grave a todo niño o adolescente que presente:,Ganglios mayores de 5 cm de cualquier localización,"Inicio progresivo de visión borrosa, doble o ceguera","Cefalea con pred, diurno, persistente y progresivo",Fiebre de duración mayor a 7 días sin causa conocida,D,Fiebre de duración mayor a 7 días sin causa conocida
2026-I,Medicina,23,"Se identifica un caso índice de tuberculosis en su comunidad, en población semicerrada, por lo que, de acuerdo con la normativa, inicia estudio de contactos. ¿Cuál es el plazo límite para el estudio de contactos?",≤7 días calendario,>7 días calendario,<48 horas,≥48 horas,A,≤7 días calendario
2026-I,Medicina,24,Se desea ordenar el servicio de Admisión en un establecimiento de salud. ¿Hasta cuántos años de la última consulta se pueden tener las historias clínicas en el archivo activo?,2,3,5,10,C,5
2026-I,Medicina,25,Durante las campañas de vacunación se intervienen a las instituciones educativas a fin de vacunar a los niños y niñas con la vacuna de VPH para protegerlos y prevenir el cáncer cervical. ¿Desde qué edad se puede vacunar y cuantas dosis se debe aplicar?,9 años y dosis única,11 años y dosis única,9 años y dos dosis,13 años y dosis única,A,9 años y dosis única
2026-I,Medicina,26,"Tras administrar un medicamento ""x"" a un paciente, este reporta nauseas. Esta reacción a pesar de solo ser una sospecha de haber sido generada por el medicamento ""x"", sin necesidad de confirmar la relación causal, debe reportarse en la historia clínica del paciente; porque corresponde a:",Reacción bien caracterizada,Evento centinela,ESAVI,Sospecha de reacción adversa,D,Sospecha de reacción adversa
2026-I,Medicina,27,"En una actividad de prevención de cáncer en su comunidad, Ud. acude con su equipo multidisciplinario en salud para la captación de personas en riesgo, según la normatividad vigente sobre el acceso a la cobertura oncológica ¿Cuál es la conducta a seguir?",Citología cervical a mujeres de cualquier edad,Tamizaje de piel a varones mayores de 50 años,Dosaje de PSA a partir de los 40 años,Aplicar IVAA a mujeres de 30 a 49 años,D,Aplicar IVAA a mujeres de 30 a 49 años
2026-I,Medicina,28,Varón de 18 años le comenta a usted que tuvo su primera relación sexual sin protección para lo cual pide una prueba de descarte de VIH. Al regresar a consulta para su resultado se da con la noticia que es positivo ¿Qué responsabilidades tiene usted como médico?,Movilizar redes de soporte social para el paciente,Coordinar con el servicio de inmunizaciones,Confirmar el diagnóstico,Identificar al agente de soporte,C,Confirmar el diagnóstico
2026-I,Medicina,29,La organización mundial de la salud ratifica la importancia de la actividad física y la considera como el factor que interviene en el estado de salud de las personas y la define como la principal estrategia en prevención de la ...,morbilidad.,letalidad.,mortalidad.,obesidad.,D,obesidad.
2026-I,Medicina,30,"Mariela de 25 años acude por segunda vez en un mes al servicio de medicina por problemas personales no físicos, con insomnio y preocupación. Ante esta situación el médico SERUMS aplica el Cuestionario Symptoms Report Questionnaire - SRQ; luego de responder las primeras 18 preguntas obtiene un puntaje de 09, esto significa:",Alta probabilidad de sufrir enfermedad mental,Joven con personalidad normal,Probabilidad baja de sufrir ansiedad,Alta probabilidad de sufrir adicción,A,Alta probabilidad de sufrir enfermedad mental
2026-I,Medicina,31,"En el PS I-2 de la región central se ha detectado un caso de fiebre amarilla selvática, en este caso la notificación es:",Mensual,Inmediata,Quincenal,Semanal,B,Inmediata
2026-I,Medicina,32,Mujer de 30 años con 9 meses de gestación refiere que empezó a tener contracciones hace más de dos horas y se encuentra pronta a dar a luz. ¿Qué criterios debe cumplir para parto vertical?,Presentación cefálica del feto,Incompatibilidad feto pélvica,Embarazo gemelar,Cirugía uterina previa,A,Presentación cefálica del feto
2026-I,Medicina,33,"Alfonso de 62 años, agricultor, acude a su control anual por medicina en la posta de San Marcos. A la evaluación integral se obtiene una PA: 142/90 mmHg, FR: 20X’, FC: 80X’ y un IMC: 31 Kg/m2, sin daño a órgano blanco. ¿Qué riesgo cardiovascular le corresponde?",Alto,Moderado,Bajo a moderado,Moderado a alto,D,Moderado a alto
2026-I,Medicina,34,Cuando el personal de salud reconoce a las enfermedades transmisibles a través de la ruta del agente infeccioso desde la fuente de infección hasta el susceptible. Está aplicando la definición de:,Epidemiología de las enfermedades,Cadena de vigilancia y recuperación,Triada epidemiológica,Cadena epidemiológica,D,Cadena epidemiológica
2026-I,Medicina,35,"Para prevenir las muertes neonatales se impulsa el parto institucional, sin embargo, la población de las zonas rurales, por costumbre y cultura, prefieren los partos domiciliarios. ¿Qué acciones se deben de tomar en cuenta para cumplir con los objetivos del sector?",Informar a las gestantes que la atención es gratuita,Prometerles la entrega de canastas de víveres,Educar e impulsar la participación comunitaria,Atender los partos intradomiciliarios,C,Educar e impulsar la participación comunitaria
2026-I,Medicina,36,"Se encuentra en un centro de salud I-4, el equipo de vigilancia está realizando la revisión de historias clínicas de las mujeres post parto eutócico, para identificar casos de endometritis puerperal. En el proceso de la vigilancia epidemiológica de las IAAS corresponde a:",Recolección de datos,Análisis e interpretación de los datos,Evaluación de la vigilancia,Plan de vigilancia epidemiológica,A,Recolección de datos
2026-I,Medicina,37,Se encuentra atendiendo el serumista profesional de salud no médico en un establecimiento de salud nivel I-1. ¿Cuál es la atención de salud de urgencia que puede realizar según su categoría y su referencia correspondiente?,Hemorragia leve,Síndrome febril,Asma no complicada,Parasitosis intestinal,B,Síndrome febril
2026-I,Medicina,38,La farmacovigilancia es una actividad de la ...... que se encarga de evaluar la efectividad del medicamento y dispone un sistema rápido de alerta a…,salud pública / vigilancia epidemiológica.,vigilancia / reacciones adversas.,epidemiología / farmacovigilancia.,salud pública / reacciones adversas.,D,salud pública / reacciones adversas.
2026-I,Medicina,39,"Como integrante de un equipo multidisciplinario del adolescente en su IPRESS, realiza el cuidado integral a María de 15 años, buscando prevenir el riesgo y conductas problemáticas, desarrollando competencias necesarias para la consecución de logros, ¿Qué enfoque está abordando Ud.?",Desarrollo positivo,Diversidad,Derechos y ciudadanía,Inclusión social,A,Desarrollo positivo
2026-I,Medicina,40,"El conjunto de procedimientos asistenciales a través del cual se asegura la continuidad de la atención de las necesidades de salud de los usuarios, transfiriéndolo del establecimiento de menor a mayor capacidad resolutiva corresponde a:",Referencia,Contrarreferencia,Atención primaria,Atención compartida,A,Referencia
2026-I,Medicina,41,En la evaluación de una gestante se evidencia úlcera indurada e indolora (chancro) localizada en mucosa genital. ¿En qué fase de la historia natural de la enfermedad se encuentra?,Clínica,Subclínica,Inducción,Resolutiva,A,Clínica
2026-I,Medicina,42,"En una comunidad con escenario de intervención III para Aedes aegypti se realizaron actividades de vigilancia mediante ovitrampas, obteniendo un índice IPO/IDH de 70. ¿Qué medidas se debe adoptar, considerando la estratificación del riesgo entomológico?",Aplicar larvicidas y adulticidas,Realizar inspecciones adicionales,Identificar criaderos para eliminar,Seguir con el monitoreo,A,Aplicar larvicidas y adulticidas
2026-I,Medicina,43,Un centro de salud I-3 que no genera más de 10 litros al día de residuos sólidos biocontaminados y cuenta con autoclave para el tratamiento. ¿Cuál es el tiempo máximo que puede almacenarlos antes de su disposición final?,Un mes,Tres días,48 horas,Siete días,D,Siete días
2026-I,Medicina,44,"En un caserío de Pasco, se presentan 5 casos de la enfermedad de pertussis durante los meses de enero y febrero. Como jefe de establecimiento, ¿Qué actividades dispone realizar?",Complementarias de vacunación,Desinfección en comunidad,Regulares de vacunación,Control de vectores,A,Complementarias de vacunación
2026-I,Medicina,45,"Un establecimiento de salud con población asignada que cuenta con médico cirujano, profesionales de enfermería y obstetricia, y personal técnico de enfermería; si recibe una gestante en periodo expulsivo. ¿Cuál es la conducta a seguir?",Referirlo a un hospital,Atender el parto,Referirlo a un EESS I-3,Referirlo a un EESS I-4,B,Atender el parto
2026-I,Medicina,46,"A una RIS se le asigna las siguientes acciones: conformar el equipo implementador del modelo de cuidado integral (MCI), su plan y fortalecimiento de capacidades a su equipo de gestión. ¿Cuál es el componente del MCI aplicado?",Provisión,Financiamiento,Gestión,Organización,D,Organización
